"","dataset6_1","dataset6_2","dataset6_3","dataset6_4","dataset6_5","dataset6_6","dataset6_7","dataset6_8","dataset6_9","dataset6_10","dataset6_11","dataset6_12","dataset6_13","dataset6_14","dataset6_15","dataset6_16","dataset6_17","dataset6_18","dataset6_19","dataset6_20"
"bOTU13186",0.000909090909090909,0.000118577075098814,7.90513833992095e-05,7.90513833992095e-05,0.000118577075098814,0.000237154150197628,0.000276679841897233,0.000316205533596838,0.000158102766798419,0.000158102766798419,0.000197628458498024,0.000237154150197628,0.000158102766798419,0.000158102766798419,0.000118577075098814,0.000197628458498024,0.000513833992094862,0.000118577075098814,0.000395256916996047,0.000434782608695652
"bOTU4849",0.000197628458498024,0,0.000276679841897233,0.000158102766798419,0.000276679841897233,0.000158102766798419,0.000276679841897233,7.90513833992095e-05,0.000355731225296443,0.000197628458498024,0.000237154150197628,0,0.000395256916996047,0.000158102766798419,0.000197628458498024,7.90513833992095e-05,0.000197628458498024,0.000118577075098814,0.000434782608695652,7.90513833992095e-05
"bOTU7182",0.000395256916996047,0.00118577075098814,0.000909090909090909,0.000592885375494071,0.000316205533596838,0.000711462450592885,0.000197628458498024,0.000395256916996047,0.000671936758893281,0.000276679841897233,0.00130434782608696,0.000513833992094862,0.000395256916996047,0.00122529644268775,0.000316205533596838,0.000711462450592885,0.000474308300395257,0.000671936758893281,0.000790513833992095,0.00102766798418972
"bOTU11245",0.00146245059288538,0.000909090909090909,0.00245059288537549,0.000316205533596838,0.000434782608695652,0.000237154150197628,0.000395256916996047,0.000553359683794466,0.00150197628458498,0.000118577075098814,0.00142292490118577,0.000474308300395257,0.000197628458498024,0.000711462450592885,0.0008300395256917,0.000671936758893281,0.00201581027667984,0.000790513833992095,0.001699604743083,0.000869565217391304
"bOTU12312",3.95256916996047e-05,0.000355731225296443,0.000355731225296443,0.000276679841897233,3.95256916996047e-05,0.000434782608695652,7.90513833992095e-05,0.000197628458498024,0.000118577075098814,0.000395256916996047,0.000316205533596838,0.000909090909090909,0.000158102766798419,0.000909090909090909,3.95256916996047e-05,0.000513833992094862,0.000118577075098814,0.000948616600790514,0.000237154150197628,0.000474308300395257
"bOTU11307",0.00304347826086957,0.00592885375494071,0.000869565217391304,0.00272727272727273,0.00150197628458498,0.00687747035573122,0.00130434782608696,0.0104743083003953,0.0024901185770751,0.0033596837944664,0.000474308300395257,0.00905138339920949,0.000909090909090909,0.00636363636363636,0.000513833992094862,0.00814229249011858,0.00328063241106719,0.00873517786561265,0.00272727272727273,0.00723320158102767
"bOTU10066",0.00648221343873518,0.0091304347826087,0.00193675889328063,0.00624505928853755,0.00284584980237154,0.00960474308300395,0.00280632411067194,0.0160079051383399,0.00446640316205534,0.00640316205533597,0.000948616600790514,0.0105533596837945,0.00134387351778656,0.0124901185770751,0.00177865612648221,0.0125296442687747,0.00683794466403162,0.0156521739130435,0.00533596837944664,0.0139920948616601
"bOTU4019",0.00300395256916996,0.00426877470355731,0.00118577075098814,0.00197628458498024,0.00142292490118577,0.00371541501976285,0.00162055335968379,0.00466403162055336,0.0016600790513834,0.00146245059288538,0.000592885375494071,0.00260869565217391,0.00075098814229249,0.00430830039525692,0.00075098814229249,0.00351778656126482,0.00245059288537549,0.0049802371541502,0.00185770750988142,0.00537549407114624
"bOTU8217",0.000553359683794466,7.90513833992095e-05,0.000355731225296443,0.000434782608695652,0.000474308300395257,0.000316205533596838,0.000316205533596838,0.000592885375494071,0.000355731225296443,0.000553359683794466,3.95256916996047e-05,0.000355731225296443,0.000158102766798419,0.000513833992094862,0.000316205533596838,3.95256916996047e-05,0.000276679841897233,0.000474308300395257,0.000434782608695652,0.000434782608695652
"bOTU12454",0.00130434782608696,0.00150197628458498,0.00158102766798419,0.00122529644268775,0.000592885375494071,0.000434782608695652,0.000355731225296443,0.000671936758893281,0.0008300395256917,0.000395256916996047,0.00126482213438735,0.000395256916996047,0.000513833992094862,0.00142292490118577,0.000237154150197628,0.00142292490118577,0.00122529644268775,0.00142292490118577,0.00106719367588933,0.000948616600790514
"bOTU9588",0.00264822134387352,0.00375494071146245,0.000790513833992095,0.00118577075098814,0.000948616600790514,0.00573122529644269,0.000671936758893281,0.0115415019762846,0.0008300395256917,0.00245059288537549,0.00806324110671937,0.00509881422924901,0.000592885375494071,0.00656126482213439,0.000988142292490119,0.00264822134387352,0.00284584980237154,0.00561264822134387,0.00225296442687747,0.00399209486166008
"bOTU9805",0.000592885375494071,0.000237154150197628,0.000197628458498024,0.000118577075098814,0.00106719367588933,3.95256916996047e-05,0.00138339920948617,0.000276679841897233,0.00075098814229249,0.000513833992094862,3.95256916996047e-05,0.000118577075098814,0.000632411067193676,0.000197628458498024,0.000790513833992095,7.90513833992095e-05,0.000909090909090909,0.000197628458498024,0.000513833992094862,7.90513833992095e-05
"bOTU813",0.00106719367588933,0.000632411067193676,0.000474308300395257,0.000118577075098814,0.000316205533596838,0.000158102766798419,0.000237154150197628,0.000276679841897233,0.000434782608695652,3.95256916996047e-05,0.000711462450592885,0.000158102766798419,0.000158102766798419,7.90513833992095e-05,0.000355731225296443,0.000513833992094862,0.000553359683794466,0.000158102766798419,0.000513833992094862,0.000276679841897233
"bOTU10369",0.00110671936758893,0.000909090909090909,0.00102766798418972,0.000276679841897233,0.000197628458498024,0.000513833992094862,0.000355731225296443,0.000158102766798419,0.000790513833992095,0.000197628458498024,0.000948616600790514,0.000632411067193676,0.000197628458498024,0.000592885375494071,0.000355731225296443,0.00102766798418972,0.000948616600790514,0.000671936758893281,0.00106719367588933,0.000790513833992095
"bOTU9200",0.000316205533596838,0.000118577075098814,0.000118577075098814,0.000237154150197628,0.000276679841897233,0.000158102766798419,0.000592885375494071,0.000711462450592885,0.000316205533596838,0.000592885375494071,7.90513833992095e-05,0.000316205533596838,0.000316205533596838,0.000355731225296443,0.000118577075098814,0.000276679841897233,0.000276679841897233,0.000395256916996047,0.000316205533596838,0.000276679841897233
"bOTU10469",0.000237154150197628,0.000276679841897233,0.000395256916996047,0.000197628458498024,0.000197628458498024,0.000118577075098814,0.000118577075098814,7.90513833992095e-05,0.000197628458498024,7.90513833992095e-05,0.000395256916996047,0.000158102766798419,0.000158102766798419,0.000276679841897233,7.90513833992095e-05,3.95256916996047e-05,0.000395256916996047,0.000276679841897233,0.000316205533596838,3.95256916996047e-05
"bOTU9064",0.000632411067193676,0.000118577075098814,0.000237154150197628,0,0.00138339920948617,0.000237154150197628,0.000355731225296443,0.000434782608695652,0.00106719367588933,0.000237154150197628,0.0016600790513834,0.000158102766798419,0.000632411067193676,0.000474308300395257,0.000474308300395257,3.95256916996047e-05,0.0049802371541502,0.00114624505928854,0.00126482213438735,0.000395256916996047
"bOTU9192",3.95256916996047e-05,0.000237154150197628,0,0.000237154150197628,0,0.000395256916996047,3.95256916996047e-05,0.000118577075098814,3.95256916996047e-05,0.000513833992094862,0,0.000276679841897233,3.95256916996047e-05,0.000316205533596838,0,0.000158102766798419,3.95256916996047e-05,0.000395256916996047,3.95256916996047e-05,0.000237154150197628
