"","Simulation.scenarios","Stability","Simulation.scenarios","Stability"
"1","Most-to-least abundant taxa removal",11.5893573971213,"Least-to-most abundant taxa removal",11.6944975532355
"2","Most-to-least abundant taxa removal",5.33420718979165,"Least-to-most abundant taxa removal",8.0216596724494
"3","Most-to-least abundant taxa removal",11.9286223301505,"Least-to-most abundant taxa removal",11.3548557591004
"4","Most-to-least abundant taxa removal",11.3648236264752,"Least-to-most abundant taxa removal",10.9230246925519
"5","Most-to-least abundant taxa removal",11.9220492072076,"Least-to-most abundant taxa removal",11.3894903329688
"6","Most-to-least abundant taxa removal",6.42863014955614,"Least-to-most abundant taxa removal",8.35044272698735
"7","Most-to-least abundant taxa removal",11.8236624481796,"Least-to-most abundant taxa removal",11.2450466310613
"8","Most-to-least abundant taxa removal",7.1760158014058,"Least-to-most abundant taxa removal",8.7751850792107
"9","Most-to-least abundant taxa removal",11.7675375723125,"Least-to-most abundant taxa removal",11.1771415969804
"10","Most-to-least abundant taxa removal",12.0284364216344,"Least-to-most abundant taxa removal",12.2694722163464
"11","Most-to-least abundant taxa removal",11.7993608698649,"Least-to-most abundant taxa removal",11.7975738754354
"12","Most-to-least abundant taxa removal",10.1783749377869,"Least-to-most abundant taxa removal",11.0575534760124
"13","Most-to-least abundant taxa removal",12.0532472594479,"Least-to-most abundant taxa removal",11.5329012569283
"14","Most-to-least abundant taxa removal",7.30911971403827,"Least-to-most abundant taxa removal",9.65506011587783
"15","Most-to-least abundant taxa removal",11.7645752957239,"Least-to-most abundant taxa removal",11.2615666298235
"16","Most-to-least abundant taxa removal",10.1279138360514,"Least-to-most abundant taxa removal",10.3841271637518
"17","Most-to-least abundant taxa removal",11.8228502235543,"Least-to-most abundant taxa removal",11.3182292086606
"18","Most-to-least abundant taxa removal",11.1980374610331,"Least-to-most abundant taxa removal",11.8894210026048
"19","Most-to-least abundant taxa removal",11.9154952564654,"Least-to-most abundant taxa removal",11.6702863390626
"20","Most-to-least abundant taxa removal",8.14081275598774,"Least-to-most abundant taxa removal",9.39406297758349
