"","dataset1_1","dataset1_2","dataset1_3","dataset1_4","dataset1_5","dataset1_6","dataset1_7","dataset1_8","dataset1_9","dataset1_10","dataset1_11","dataset1_12","dataset1_13","dataset1_14","dataset1_15","dataset1_16","dataset1_17","dataset1_18","dataset1_19","dataset1_20"
"fOTU1600",3.27450145715315e-05,0,0,0,6.5490029143063e-05,0,0.000130980058286126,0.000130980058286126,0.000785880349716756,0,0,0.000360195160286846,3.27450145715315e-05,0,0.00153901568486198,0.000196470087429189,0.000982350437145945,3.27450145715315e-05,0.000523920233144504,0
"fOTU223",0.00497724221487279,0,0,0,0,0,0,3.27450145715315e-05,0,0,0.000360195160286846,0,0.000360195160286846,0.000785880349716756,0,0,0,0,0.000425685189429909,9.82350437145945e-05
"fOTU269",0.00392940174858378,0.00720390320573693,0.000753135335145224,0,0.000556665247716035,0,0.000753135335145224,0.00022921510200072,0.00199744588886342,0,0.00111333049543207,0,0.000261960116572252,0,3.27450145715315e-05,0,0,0,0,0
"fOTU4497",0.000916860408002882,0.00726939323487999,0.000687645306002161,0.00140803562657585,0.00212842594714955,0,9.82350437145945e-05,0.00428959690887062,0.000261960116572252,0.00311077638429549,0.000753135335145224,0.00275058122400864,0.00320901142801009,0.00166999574314811,0.000196470087429189,0.00687645306002161,0,0.0058286125937326,0.00327450145715315,0.00255411113657946
"fOTU27",0.000261960116572252,0.000130980058286126,0.000327450145715315,0.000523920233144504,0.000785880349716756,0,0.000622155276859098,0.00065490029143063,0.00022921510200072,0.000425685189429909,0.000458430204001441,0.000261960116572252,0.000818625364288287,0.000261960116572252,3.27450145715315e-05,0.000261960116572252,0,0.000130980058286126,0.000261960116572252,0.000818625364288287
"fOTU463",0.00127705556828973,0.00494449720030125,0.000458430204001441,0.00212842594714955,0.000916860408002882,0,0.00258685615115099,0.00667998297259242,0.00350371655915387,0,0.00399489177772684,0.00232489603457874,0.00576312256458954,0.000392940174858378,0.000163725072857657,0.000556665247716035,0,0,0.00425685189429909,0.000327450145715315
"fOTU2015",0.00065490029143063,0,0.000130980058286126,0.00559939749173188,0.000589410262287567,0,0.000523920233144504,0.000294705131143783,0.0173876027374832,0,0.00121156553914666,0,0.000818625364288287,0,0.004682537083729,0,0,0,0.00022921510200072,0.0011460755100036
"fOTU3835",3.27450145715315e-05,0,0,0.000458430204001441,0,0,0,0.00121156553914666,0,0.000130980058286126,6.5490029143063e-05,0.00022921510200072,9.82350437145945e-05,0.000130980058286126,0,0.000130980058286126,0,0.000851370378859819,6.5490029143063e-05,0.000949605422574413
"fOTU196",0.00252136612200792,0,0.000392940174858378,0.000196470087429189,0,0,0.000196470087429189,0.000261960116572252,0,0,0.000851370378859819,9.82350437145945e-05,0.000523920233144504,0.000589410262287567,0,0.00065490029143063,0,0,0.00022921510200072,0.000687645306002161
"fOTU3308",0.0612004322341923,0.0215134745734962,0.0571400504273224,0.0201709289760634,0.056124954975605,0,0.0799305805691084,0.00569763253544648,0.0854317430171256,0.016077802154622,0.154032548544484,0.0122793804643243,0.1135269655195,0.00815350862831134,0.00848095877402665,0.014604276498903,0.00108058548086054,0.0120829103768951,0.140770817643014,0.0308785487409542
"fOTU560",3.27450145715315e-05,0,0.000261960116572252,0,0,0,0.000720390320573693,6.5490029143063e-05,0.000261960116572252,0,0.00271783620943711,0,0,0,0,0,0,0,0,0
"fOTU1193",0,0,0.000327450145715315,0,0.00144078064114739,0,0.000556665247716035,0.000163725072857657,0,0,0.000196470087429189,3.27450145715315e-05,0.00101509545171748,0,0,0,0,0,0.000556665247716035,0.000818625364288287
"fOTU4380",0.140836307672157,0.00540292740430269,0.0952879924031566,0.000818625364288287,0.0351354006352533,0,0.0579914208061823,0.0332034447755329,0.00422410687972756,0.00573037755001801,0.116375781787223,0.00360195160286846,0.0427977340449917,0.00838272373031206,0.00802252857002521,0.00717115819116539,0.00458430204001441,3.27450145715315e-05,0.0835652771865484,0.0389010773109794
"fOTU310",0.00317626641343855,0,0.00284881626772324,0.000163725072857657,0.00170274075771964,0,0.000163725072857657,0.00180097580143423,0.000491175218572972,0.00170274075771964,0.000130980058286126,3.27450145715315e-05,3.27450145715315e-05,0.00022921510200072,0,9.82350437145945e-05,0,0,0,0
"fOTU1332",0.000196470087429189,0,3.27450145715315e-05,0.00127705556828973,0.000196470087429189,0,0.000163725072857657,0.000360195160286846,0.000523920233144504,0,0,0.00166999574314811,0,0.00157176069943351,0,0.000360195160286846,0,0,0.00134254559743279,0
"fOTU2640",0,0,9.82350437145945e-05,0,0.000327450145715315,0,0.000360195160286846,0.00343822653001081,9.82350437145945e-05,3.27450145715315e-05,0.000589410262287567,0,0,0.000360195160286846,3.27450145715315e-05,3.27450145715315e-05,0,3.27450145715315e-05,0,3.27450145715315e-05
"fOTU1491",0.00674547300173549,0,0.0407675431415567,0,0.0283899276335178,0,0.0194505386554897,0.0141458462949016,0.000261960116572252,0,0.0357903009266839,0,0.0173548577229117,0.0012443105537182,0.00134254559743279,0.00389665673401225,0,0.00664723795802089,0.0111660499688922,0.00196470087429189
"fOTU1525",0.0017682307868627,0.00022921510200072,0.000523920233144504,0,0,0,6.5490029143063e-05,0.000163725072857657,0.00756409836602377,0.0012443105537182,0.0059268476374472,0.000556665247716035,0.000261960116572252,0,0.000196470087429189,0,0,0.0339565801106781,0.00278332623858018,0.00704017813287927
"fOTU219",0.000818625364288287,0.000130980058286126,0.000622155276859098,0.000130980058286126,0.000491175218572972,0,0.000556665247716035,0,0.00180097580143423,6.5490029143063e-05,0.0022921510200072,0.000130980058286126,0.000261960116572252,0,3.27450145715315e-05,0.00022921510200072,0,6.5490029143063e-05,0.000916860408002882,6.5490029143063e-05
"fOTU778",0,0,0,0,6.5490029143063e-05,0,0.000196470087429189,0.0167981924751957,0.000327450145715315,0,0.00189921084514883,0,0.000130980058286126,0.000392940174858378,0.00589410262287567,0.00245587609286486,0,0,6.5490029143063e-05,0.000753135335145224
"fOTU816",3.27450145715315e-05,0,0.000163725072857657,0,0.00281607125315171,0,0.000720390320573693,0.000294705131143783,0.000687645306002161,0,0.00104784046628901,3.27450145715315e-05,3.27450145715315e-05,0,0.000458430204001441,0.000163725072857657,0,0,0.000425685189429909,0
"fOTU3720",6.5490029143063e-05,0,6.5490029143063e-05,0,0.000130980058286126,0,0.000261960116572252,0,0.000130980058286126,0,0.00484626215658666,9.82350437145945e-05,0,0,0,0,0,0,6.5490029143063e-05,0.000163725072857657
"fOTU284",9.82350437145945e-05,0.00121156553914666,0.00180097580143423,0,0.000818625364288287,0,0.00088411539343135,0,0,0,0.000949605422574413,0,0.00022921510200072,0,0.000130980058286126,0,0,0,0.000687645306002161,0
"fOTU602",0.0101836995317463,0,0.0107731097940339,0,0.0294377680998068,0,0.00527194734601657,0.00186646583057729,0.0022921510200072,0.000622155276859098,0.0270801270506565,0.000130980058286126,0.0971872032483054,0,0.00111333049543207,0.021873669733783,0,0,0.00694194308916467,0.00088411539343135
"fOTU576",0.00360195160286846,0.017125642620911,0.00700743311830774,0.00104784046628901,0.00540292740430269,0,0.000851370378859819,0.0030125413405809,0.00275058122400864,3.27450145715315e-05,0.00170274075771964,0,0.00235764104915027,3.27450145715315e-05,0.000130980058286126,0.00458430204001441,3.27450145715315e-05,0,0,0
"fOTU115",0,0,0.000261960116572252,0,0,0,0.000130980058286126,0.00144078064114739,0,0,0.000360195160286846,0,0.000327450145715315,0,0,0.000687645306002161,0,0,0,0.00163725072857657
"fOTU452",6.5490029143063e-05,0,9.82350437145945e-05,0.000523920233144504,0.00199744588886342,0,0.00130980058286126,0,0.000916860408002882,0,0.00108058548086054,0.000556665247716035,0.000392940174858378,0.00127705556828973,0.000392940174858378,0.000196470087429189,0,0,0,0
"fOTU1414",0.0157503520089066,6.5490029143063e-05,0.0249189560889355,3.27450145715315e-05,0.0280297324732309,0,0.034316775270965,0.00088411539343135,0.00962703428403026,6.5490029143063e-05,0.0138511411637578,0,0.0153901568486198,0,0.00108058548086054,0.00458430204001441,0.000130980058286126,3.27450145715315e-05,0.033334424833819,0.00134254559743279
"fOTU1283",0.000425685189429909,0,0.00117882052457513,0,0,0,0.0012443105537182,0.000589410262287567,6.5490029143063e-05,0.000687645306002161,0.00448606699629981,0,0.000392940174858378,0,0,0.000163725072857657,0,0,0.000753135335145224,0.000130980058286126
"fOTU1507",0,0,0.000556665247716035,0.00101509545171748,0,0,0,0,0.000720390320573693,0.00022921510200072,0,0,0.000130980058286126,3.27450145715315e-05,9.82350437145945e-05,0,6.5490029143063e-05,0.0147025115426176,0,3.27450145715315e-05
"fOTU1229",0.000360195160286846,0,0.000327450145715315,0,0.000130980058286126,0,3.27450145715315e-05,6.5490029143063e-05,0,0,0,0.000523920233144504,0.00203019090343495,0,0,0,0,0,0.000261960116572252,0.000425685189429909
"fOTU796",0.00121156553914666,0.00317626641343855,0,0,0.000261960116572252,0,0.000261960116572252,0.00173548577229117,0.00275058122400864,0,0,0,0,0,0,0,0,0,0,0
"fOTU282",0.00327450145715315,0.00222666099086414,0.000392940174858378,0.00219391597629261,0.00022921510200072,0,0.00022921510200072,0.00166999574314811,0.000818625364288287,0.000818625364288287,0.00173548577229117,3.27450145715315e-05,0.000458430204001441,6.5490029143063e-05,0,0,0,0.00121156553914666,0.00088411539343135,0.000589410262287567
"fOTU635",0.00117882052457513,0,0.000458430204001441,0.000196470087429189,0.000196470087429189,0,0.000523920233144504,0.000261960116572252,0.00212842594714955,0.00137529061200432,0.00101509545171748,0,0,0,0,0,0,0,0.000196470087429189,0.00104784046628901
"fOTU2870",0.00111333049543207,0.0075968433805953,0,0.00324175644258162,0.00022921510200072,0,0,6.5490029143063e-05,0.000261960116572252,0,0.000720390320573693,0,0.000196470087429189,0,0.00022921510200072,0,0.000196470087429189,0,0.00340548151543927,0.008317233701169
"fOTU1187",0.000753135335145224,0,0.000360195160286846,0,0,0,0,0.000392940174858378,6.5490029143063e-05,0.000491175218572972,9.82350437145945e-05,0.000785880349716756,0,6.5490029143063e-05,0,0.000949605422574413,0,0.00160450571400504,3.27450145715315e-05,0.00638527784144864
"fOTU227",0.00278332623858018,0,0,3.27450145715315e-05,3.27450145715315e-05,0,0,0,0.00789154851173909,0,9.82350437145945e-05,0,0,0.0120829103768951,0,0,0,0,0.0111987949834638,0.000622155276859098
"fOTU1377",9.82350437145945e-05,0,9.82350437145945e-05,0,0,0,0,0.000196470087429189,0.0041586168505845,0.00104784046628901,0.000294705131143783,0,6.5490029143063e-05,0.00104784046628901,0.000130980058286126,0,3.27450145715315e-05,0,0,0
"fOTU1209",0.000622155276859098,0,0.00022921510200072,0.0162415272274796,0.0022921510200072,0,0,0.000720390320573693,0.000294705131143783,0,0.000294705131143783,0.00258685615115099,0,0.000130980058286126,0,0,0,0,0,0.00117882052457513
"fOTU190",0.00733488326402305,0.00537018238973116,0.0030125413405809,0.00720390320573693,0.0144405514260454,0,0.00235764104915027,0.0123121254788958,0.00203019090343495,0,0.00667998297259242,0.0382134320049772,0.00749860833688071,0.0030125413405809,0.0117554602311798,0.0247879760306493,0.0108713448377485,0.0402436229084122,0.0152919218049052,0.00609057271030486
